Date	Time	Press	Temp	Cond	Sal	O2%	O2ppm	pH	PAR	Trx-Chl-a	Pethr	Pchan
[D-M-Y]	[h:m:s]	[dbar]	[°C]	[mS/cm]	[PSU]	[%]	[mg/l]	[pH]	[-]	[ug/l]	[ug/l]	[ug/l]
19-07-2024 07:44:04.45    0.36   9.994   0.000    0.000  106.9  12.05  14.000 1471.54626 1000.00 1000.00 1000.00
19-07-2024 07:44:04.63    0.36   9.985   0.000    0.005  107.0  12.06  14.000 1390.42554 1000.00 1000.00 1000.00
19-07-2024 07:44:04.87    0.38   9.979   0.000    0.005  107.0  12.06  14.000 1505.86560    0.05 1000.00 1000.00
19-07-2024 07:44:05.12    0.36   9.974   0.000    0.005  107.0  12.07  14.000 1354.58362 1000.00 1000.00   13.24
19-07-2024 07:44:05.37    0.39   9.978   0.000    0.005  107.0  12.07  14.000  582.28589    3.13   33.19   10.74
19-07-2024 07:44:05.62    0.36   9.985   0.000    0.005  107.0  12.06  14.000  369.28265    0.00    3.71   41.96
19-07-2024 07:44:05.86    0.35  10.000   0.000    0.005  106.8  12.04  14.000  347.69983    0.00    3.71   41.96
19-07-2024 07:44:06.11    0.36  10.018   0.000    0.000  106.9  12.05  14.000  389.14838 1000.00   38.08    0.00
19-07-2024 07:44:06.36    0.35   9.971   0.000    0.005  107.1  12.07  14.000  698.97314 1000.00 1000.00 1000.00
19-07-2024 07:44:06.60    0.37   9.905   0.000    0.000  107.3  12.11  14.000  560.19458 1000.00 1000.00 1000.00
19-07-2024 07:44:06.85    0.35   9.855   0.000    0.005  107.3  12.14  14.000  407.56412 1000.00 1000.00    0.00
19-07-2024 07:44:07.09    0.36   9.845   0.000    0.005  107.4  12.15  14.000  345.18405 1000.00 1000.00   25.08
19-07-2024 07:44:07.34    0.40   9.838   0.000    0.005  107.5  12.16  14.000  360.35349    0.00    0.00   25.08
19-07-2024 07:44:07.58    0.38   9.817   0.000    0.000  107.5  12.17  14.000  476.26724    0.00    0.00   25.08
19-07-2024 07:44:07.83    0.39   9.807   0.000    0.005  107.6  12.18  14.000  586.56769 1000.00 1000.00 1000.00
19-07-2024 07:44:08.08    0.37   9.821   0.000    0.005  107.5  12.17  14.000  870.32654    0.00 1000.00 1000.00
19-07-2024 07:44:08.32    0.37   9.821   0.000    0.000  107.5  12.16  14.000 1044.38074 1000.00 1000.00   39.74
19-07-2024 07:44:08.56    0.36   9.826   0.000    0.005  107.5  12.16  14.000 1258.13525    0.00 1000.00 1000.00
19-07-2024 07:44:08.81    0.34   9.827   0.000    0.000  107.5  12.16  14.000 1338.54016 1000.00    8.74    5.66
19-07-2024 07:44:09.06    0.35   9.828   0.000    0.000  107.5  12.16  14.000 1320.67432    2.53    3.28    5.61
19-07-2024 07:44:09.31    0.35   9.830   0.000    0.000  107.5  12.16  14.000 1290.43469    2.53    3.28    5.61
19-07-2024 07:44:09.56    0.37   9.831   0.000    0.000  107.5  12.16  14.000 1287.96484    2.68    3.42    5.52
19-07-2024 07:44:09.80    0.36   9.834   0.000    0.005  107.5  12.16  14.000 1278.62781    2.57    3.22    5.68
19-07-2024 07:44:10.05    0.37   9.837   0.000    0.000  107.5  12.16  14.000 1182.93945    2.65    3.35    5.51
19-07-2024 07:44:10.30    0.36   9.840   0.000    0.005  107.4  12.15  14.000 1110.24609    2.56    3.25    5.55
19-07-2024 07:44:10.54    0.39   9.842   0.000    0.005  107.3  12.14  14.000  922.97949    1.03   14.22    5.58
19-07-2024 07:44:10.79    0.37   9.841   0.000    0.005  107.2  12.13  14.000  892.00110    2.63    3.17    5.41
19-07-2024 07:44:11.03    0.38   9.838   0.000    0.000  107.2  12.13  14.000  917.66003    2.63    3.17    5.41
19-07-2024 07:44:11.28    0.35   9.839   0.000    0.005  107.3  12.13  14.000  862.99017    2.62    3.26    5.49
19-07-2024 07:44:11.52    0.35   9.837   0.000    0.000  107.3  12.13  14.000  865.04407    2.55    3.21    5.51
19-07-2024 07:44:11.76    0.35   9.810   0.000    0.000  107.3  12.15  14.000  869.92389    2.66    3.26    5.59
19-07-2024 07:44:12.01    0.36   9.769   0.000    0.000  107.5  12.18  14.000 1018.97504    2.61    2.61   26.14
19-07-2024 07:44:12.26    0.31   9.731   0.000    0.000  107.6  12.20  14.000 1195.56714 1000.00   13.27    5.66
19-07-2024 07:44:12.50    0.38   9.709   0.000    0.005  107.7  12.22  14.000 1308.29907    2.67    2.35    5.66
19-07-2024 07:44:12.75    0.39   9.689   0.000    0.000  107.8  12.23  14.000 1222.03650    2.67    2.35    5.66
19-07-2024 07:44:13.00    0.37   9.659   0.000    0.000  107.9  12.25  14.000 1155.51160   11.95    3.39    5.60
19-07-2024 07:44:13.25    0.35   9.619   0.000    0.005  108.0  12.28  14.000 1120.57788    2.61    2.46    2.15
19-07-2024 07:44:13.49    0.38   9.611   0.000    0.000  108.0  12.28  14.000 1291.56421 1000.00    2.46    0.00
19-07-2024 07:44:13.74    0.34   9.610   0.000    0.005  108.0  12.28  14.000 1225.62988 1000.00 1000.00 1000.00
19-07-2024 07:44:13.99    0.37   9.613   0.000    0.005  107.9  12.27  14.000 1258.44092 1000.00    0.00   30.87
19-07-2024 07:44:14.23    0.36   9.619   0.000    0.000  107.8  12.26  14.000 1206.16614   47.94 1000.00 1000.00
19-07-2024 07:44:14.47    0.39   9.625   0.000    0.005  108.1  12.29  14.000 1257.18335   47.94 1000.00 1000.00
19-07-2024 07:44:14.72    0.50   8.778  27.606   25.358  108.2  10.67  14.000 1290.77075   47.94   74.93   43.22
19-07-2024 07:44:14.97    0.45   7.658  27.624   26.197  107.5  10.82  14.000 1248.53906   47.94  290.17   43.22
19-07-2024 07:44:15.21    0.57   7.396  27.677   26.451  105.9  10.71  14.000 1234.93213   47.94  290.17   43.22
19-07-2024 07:44:15.46    0.64   7.282  27.653   26.513  104.9  10.63  14.000 1220.82996   47.94  290.17   27.04
19-07-2024 07:44:15.70    0.75   7.224  27.675   26.581  104.3  10.58  14.000 1256.08276   47.94   30.31   36.41
19-07-2024 07:44:15.95    0.83   7.227  27.670   26.573  103.6  10.50  14.000 1118.29382    5.62    3.36    8.39
19-07-2024 07:44:16.19    0.92   7.226  27.677   26.581  103.0  10.45  14.000  277.77173    5.62    3.36    8.39
19-07-2024 07:44:16.44    1.02   7.207  27.662   26.579  102.7  10.42  14.000  196.37350   48.06    3.36    4.09
19-07-2024 07:44:16.69    1.11   7.188  27.668   26.601  102.3  10.39  14.000  124.57873    3.35    9.69    4.09
19-07-2024 07:44:16.94    1.15   7.165  27.734   26.688  102.3  10.39  14.000  150.42039    1.89    9.69    6.56
19-07-2024 07:44:17.18    1.11   7.167  27.760   26.714  102.3  10.38  14.000  137.38336    1.89    8.96    1.62
19-07-2024 07:44:17.43    1.10   7.174  27.749   26.697  102.1  10.36  14.000  195.55266    4.40    8.96    6.22
19-07-2024 07:44:17.67    1.11   7.171  27.795   26.748  102.1  10.35  14.000  186.09944   10.66    8.96    3.97
19-07-2024 07:44:17.92    1.11   7.180  27.798   26.744  102.2  10.37  14.000  130.71236   10.66    8.96    3.97
19-07-2024 07:44:18.16    1.11   7.193  27.828   26.766  102.2  10.36  14.000  181.84430   10.66    5.10    3.97
19-07-2024 07:44:18.41    1.12   7.206  27.814   26.741  102.3  10.37  14.000  134.36650   21.27    5.10    1.85
19-07-2024 07:44:18.65    1.12   7.204  27.832   26.761  102.3  10.37  14.000  170.64801   21.27    6.77    3.00
19-07-2024 07:44:18.90    1.11   7.209  27.868   26.795  102.4  10.38  14.000  145.57240    1.51    6.77    7.04
19-07-2024 07:44:19.15    1.13   7.214  27.892   26.818  102.9  10.43  14.000  166.85622    0.72    8.42    4.23
19-07-2024 07:44:19.39    1.10   7.214  27.911   26.838  103.2  10.45  14.000  152.40474    8.33    6.45    3.71
19-07-2024 07:44:19.63    1.09   7.217  27.914   26.839  103.2  10.46  14.000  121.13776    8.33    6.45    3.71
19-07-2024 07:44:19.88    1.11   7.222  27.926   26.847  103.5  10.48  14.000  149.22876    3.86    9.24    1.76
19-07-2024 07:44:20.13    1.11   7.224  27.942   26.863  103.8  10.51  14.000  112.05091    6.34    7.86    7.09
19-07-2024 07:44:20.38    1.11   7.224  27.960   26.882  104.1  10.54  14.000  134.97046    4.68    4.69   34.72
19-07-2024 07:44:20.63    1.11   7.224  27.979   26.902  104.4  10.56  14.000  123.94516    5.48   28.12    6.66
19-07-2024 07:44:20.87    1.11   7.230  27.994   26.913  104.3  10.56  14.000  131.53912    5.86   28.12    6.36
19-07-2024 07:44:21.12    1.08   7.235  28.007   26.923  104.4  10.56  14.000  132.10977    5.86   28.12    3.53
19-07-2024 07:44:21.36    1.11   7.236  28.013   26.928  104.5  10.58  14.000  109.95776    5.86   28.12    3.53
19-07-2024 07:44:21.61    1.09   7.237  27.996   26.910  104.8  10.61  14.000  130.57323    1.64   28.12   18.24
19-07-2024 07:44:21.85    1.08   7.243  27.997   26.906  104.9  10.62  14.000  113.61411    2.19    3.94    0.45
