Time 1,Time 2,Label,Type
2026-03-24 09:30:19.750,2026-03-24 09:43:15.875,,PROFILE
2026-03-24 09:30:19.750,2026-03-24 09:39:04.000,,DOWN
2026-03-24 09:39:04.000,2026-03-24 09:43:15.875,,UP
2026-03-24 11:28:15.125,2026-03-24 11:43:35.375,,PROFILE
2026-03-24 11:28:15.125,2026-03-24 11:40:00.750,,DOWN
2026-03-24 11:40:00.750,2026-03-24 11:43:35.375,,UP
2026-03-24 11:43:35.375,2026-03-24 12:21:13.500,,PROFILE
2026-03-24 11:43:35.375,2026-03-24 12:01:30.750,,DOWN
2026-03-24 12:01:30.750,2026-03-24 12:21:13.500,,UP

