Time,Type
2026-03-24 08:51:33.000,Twist detected - sampling (re-)started
2026-03-24 08:51:40.250,Twist detected - sampling paused
2026-03-24 09:29:38.000,Twist detected - sampling (re-)started
2026-03-24 09:30:19.750,Profile - downcast detected
2026-03-24 09:31:19.000,Wi-Fi module powered off
2026-03-24 09:39:04.000,Profile - end of cast detected
2026-03-24 09:39:04.000,Profile - upcast detected
2026-03-24 09:43:04.625,Wi-Fi module powered on
2026-03-24 09:43:15.875,Profile - end of cast detected
2026-03-24 09:44:08.000,Wi-Fi module powered off
2026-03-24 09:48:04.875,Twist detected - sampling paused
2026-03-24 09:48:05.000,Wi-Fi module powered on
2026-03-24 09:49:09.000,Wi-Fi module powered off
2026-03-24 11:27:33.000,Wi-Fi module powered on
2026-03-24 11:27:36.000,Twist detected - sampling (re-)started
2026-03-24 11:28:15.125,Profile - downcast detected
2026-03-24 11:28:37.000,Wi-Fi module powered off
2026-03-24 11:40:00.750,Profile - end of cast detected
2026-03-24 11:40:00.750,Profile - upcast detected
2026-03-24 11:41:51.125,Wi-Fi module powered on
2026-03-24 11:42:55.000,Wi-Fi module powered off
2026-03-24 11:43:35.375,Profile - end of cast detected
2026-03-24 11:43:35.375,Profile - downcast detected
2026-03-24 12:01:30.750,Profile - end of cast detected
2026-03-24 12:01:30.750,Profile - upcast detected
2026-03-24 12:18:05.250,Wi-Fi module powered on
2026-03-24 12:19:09.000,Wi-Fi module powered off
2026-03-24 12:21:13.500,Profile - end of cast detected
2026-03-24 12:22:31.875,Twist detected - sampling paused
2026-03-24 12:22:32.000,Wi-Fi module powered on
2026-03-24 12:25:47.000,Twist detected - sampling (re-)started
2026-03-24 12:26:45.750,Profile - downcast detected
2026-03-24 12:28:15.000,Wi-Fi module powered off
2026-03-24 12:31:24.625,Profile - end of cast detected
2026-03-24 12:31:24.625,Profile - upcast detected
2026-03-24 12:32:52.250,Wi-Fi module powered on
2026-03-24 12:33:56.000,Wi-Fi module powered off
2026-03-24 12:34:05.375,Profile - end of cast detected
2026-03-24 12:34:05.375,Profile - downcast detected
2026-03-24 12:51:31.750,Profile - end of cast detected
2026-03-24 12:51:31.750,Profile - upcast detected
2026-03-24 13:07:01.875,Wi-Fi module powered on
2026-03-24 13:07:09.500,Profile - end of cast detected
2026-03-24 13:07:09.500,Profile - downcast detected
2026-03-24 13:08:06.000,Wi-Fi module powered off
2026-03-24 13:18:57.375,Profile - end of cast detected
2026-03-24 13:18:57.375,Profile - upcast detected
2026-03-24 13:27:56.875,Wi-Fi module powered on
2026-03-24 13:28:09.875,Wi-Fi module powered off
2026-03-24 13:30:00.250,Profile - end of cast detected
2026-03-24 13:30:00.250,Profile - downcast detected
2026-03-24 13:36:27.875,Profile - end of cast detected
2026-03-24 13:36:27.875,Profile - upcast detected
2026-03-24 13:42:35.250,Wi-Fi module powered on
2026-03-24 13:43:39.000,Wi-Fi module powered off
2026-03-24 13:49:03.375,Profile - end of cast detected
2026-03-24 13:49:03.375,Profile - downcast detected
